trial,mode,outcome,blocked_by_dnssec,duration_sec
1,dnssec,blocked,True,2.9018
2,dnssec,blocked,True,2.8328
3,dnssec,blocked,True,2.8366
4,dnssec,blocked,True,2.8525
5,dnssec,blocked,True,3.0024
6,dnssec,blocked,True,2.7781
7,dnssec,blocked,True,2.8832
8,dnssec,blocked,True,2.9053
9,dnssec,blocked,True,2.9655
10,dnssec,blocked,True,2.8497
11,dnssec,blocked,True,2.9843
12,dnssec,blocked,True,3.0464
13,dnssec,blocked,True,2.8870
14,dnssec,blocked,True,2.9780
15,dnssec,blocked,True,2.8665
16,dnssec,blocked,True,2.9402
17,dnssec,blocked,True,2.9292
18,dnssec,blocked,True,2.9296
19,dnssec,blocked,True,2.9121
20,dnssec,blocked,True,3.0001
21,dnssec,blocked,True,2.9501
22,dnssec,blocked,True,2.8461
23,dnssec,blocked,True,2.8576
24,dnssec,blocked,True,2.8643
25,dnssec,blocked,True,2.9259
26,dnssec,blocked,True,2.8938
27,dnssec,blocked,True,2.9817
28,dnssec,blocked,True,2.9241
29,dnssec,blocked,True,2.8379
30,dnssec,blocked,True,3.0999
31,dnssec,blocked,True,2.8514
32,dnssec,blocked,True,2.9842
33,dnssec,blocked,True,3.0937
34,dnssec,blocked,True,2.9992
35,dnssec,blocked,True,2.9783
36,dnssec,blocked,True,3.0382
37,dnssec,blocked,True,2.8859
38,dnssec,blocked,True,2.9811
39,dnssec,blocked,True,2.9499
40,dnssec,blocked,True,2.9321
41,dnssec,blocked,True,2.8991
42,dnssec,blocked,True,2.8358
43,dnssec,blocked,True,2.9173
44,dnssec,blocked,True,2.9412
45,dnssec,blocked,True,2.8840
46,dnssec,blocked,True,2.9832
47,dnssec,blocked,True,2.9370
48,dnssec,blocked,True,2.9791
49,dnssec,blocked,True,2.8593
50,dnssec,blocked,True,3.0196
51,dnssec,blocked,True,2.9594
52,dnssec,blocked,True,2.9513
53,dnssec,blocked,True,2.9654
54,dnssec,blocked,True,2.8732
55,dnssec,blocked,True,2.9850
56,dnssec,blocked,True,2.9557
57,dnssec,blocked,True,2.9365
58,dnssec,blocked,True,2.9496
59,dnssec,blocked,True,2.9641
60,dnssec,blocked,True,2.9773
61,dnssec,blocked,True,2.9944
62,dnssec,blocked,True,2.9162
63,dnssec,blocked,True,2.9287
64,dnssec,blocked,True,2.8436
65,dnssec,blocked,True,3.0918
66,dnssec,blocked,True,2.9805
67,dnssec,blocked,True,3.2098
68,dnssec,blocked,True,2.9592
69,dnssec,blocked,True,2.9485
70,dnssec,blocked,True,2.9117
71,dnssec,blocked,True,2.9669
72,dnssec,blocked,True,2.8779
73,dnssec,blocked,True,2.9627
74,dnssec,blocked,True,2.9613
75,dnssec,blocked,True,2.8861
76,dnssec,blocked,True,2.7833
77,dnssec,blocked,True,2.9026
78,dnssec,blocked,True,2.9566
79,dnssec,blocked,True,2.9391
80,dnssec,blocked,True,2.9499
81,dnssec,blocked,True,2.9374
82,dnssec,blocked,True,2.9871
83,dnssec,blocked,True,2.9143
84,dnssec,blocked,True,2.8737
85,dnssec,blocked,True,2.9660
86,dnssec,blocked,True,2.8691
87,dnssec,blocked,True,2.8873
88,dnssec,blocked,True,2.8985
89,dnssec,blocked,True,2.7863
90,dnssec,blocked,True,2.8019
91,dnssec,blocked,True,2.9890
92,dnssec,blocked,True,2.9181
93,dnssec,blocked,True,2.9303
94,dnssec,blocked,True,2.8499
95,dnssec,blocked,True,2.7875
96,dnssec,blocked,True,2.7848
97,dnssec,blocked,True,3.0046
98,dnssec,blocked,True,2.8487
99,dnssec,blocked,True,2.9827
100,dnssec,blocked,True,2.9026
