trial,mode,outcome,blocked_by_dnssec,duration_sec
1,unsigned,success,False,3.1245
2,unsigned,success,False,2.9495
3,unsigned,success,False,2.9684
4,unsigned,success,False,2.9384
5,unsigned,success,False,2.9186
6,unsigned,success,False,2.9600
7,unsigned,success,False,2.9507
8,unsigned,success,False,2.9290
9,unsigned,success,False,2.9600
10,unsigned,success,False,2.9298
11,unsigned,success,False,2.9145
12,unsigned,success,False,2.9488
13,unsigned,success,False,2.9246
14,unsigned,success,False,2.9354
15,unsigned,success,False,2.8744
16,unsigned,success,False,2.9343
17,unsigned,success,False,3.0263
18,unsigned,success,False,2.9280
19,unsigned,success,False,2.9625
20,unsigned,success,False,2.9465
21,unsigned,success,False,2.9955
22,unsigned,success,False,2.9315
23,unsigned,success,False,2.9550
24,unsigned,success,False,2.8638
25,unsigned,success,False,2.9679
26,unsigned,success,False,2.9493
27,unsigned,success,False,2.9639
28,unsigned,success,False,3.0885
29,unsigned,success,False,2.9792
30,unsigned,success,False,2.9871
31,unsigned,success,False,2.9649
32,unsigned,success,False,2.9382
33,unsigned,success,False,2.9280
34,unsigned,success,False,2.9191
35,unsigned,success,False,2.9692
36,unsigned,success,False,3.0001
37,unsigned,success,False,2.9094
38,unsigned,success,False,2.9286
39,unsigned,success,False,2.9608
40,unsigned,success,False,2.9149
41,unsigned,success,False,2.9489
42,unsigned,success,False,3.0557
43,unsigned,success,False,2.9281
44,unsigned,success,False,2.8611
45,unsigned,success,False,2.9074
46,unsigned,success,False,2.9022
47,unsigned,success,False,2.9201
48,unsigned,success,False,2.9134
49,unsigned,success,False,2.8782
50,unsigned,success,False,2.9481
51,unsigned,success,False,2.9757
52,unsigned,success,False,3.0048
53,unsigned,success,False,2.9678
54,unsigned,success,False,2.9432
55,unsigned,success,False,2.9108
56,unsigned,success,False,2.9859
57,unsigned,success,False,2.9608
58,unsigned,success,False,2.9176
59,unsigned,success,False,2.9979
60,unsigned,success,False,2.9944
61,unsigned,success,False,2.9355
62,unsigned,success,False,2.9527
63,unsigned,success,False,2.9063
64,unsigned,success,False,2.9211
65,unsigned,success,False,2.9110
66,unsigned,success,False,2.9849
67,unsigned,success,False,2.8939
68,unsigned,success,False,2.9948
69,unsigned,success,False,2.9246
70,unsigned,success,False,2.8865
71,unsigned,success,False,3.0071
72,unsigned,success,False,3.0101
73,unsigned,success,False,2.9402
74,unsigned,success,False,2.9683
75,unsigned,success,False,2.9326
76,unsigned,success,False,2.9551
77,unsigned,success,False,2.9264
78,unsigned,success,False,2.9337
79,unsigned,success,False,2.9396
80,unsigned,success,False,3.0036
81,unsigned,success,False,2.9290
82,unsigned,success,False,2.9122
83,unsigned,success,False,2.9446
84,unsigned,success,False,2.9478
85,unsigned,success,False,2.9351
86,unsigned,success,False,2.9873
87,unsigned,success,False,2.9471
88,unsigned,success,False,2.8679
89,unsigned,success,False,2.8947
90,unsigned,success,False,2.9629
91,unsigned,success,False,2.9145
92,unsigned,success,False,2.9045
93,unsigned,success,False,3.0317
94,unsigned,success,False,3.0541
95,unsigned,success,False,2.9588
96,unsigned,success,False,3.0353
97,unsigned,success,False,2.9409
98,unsigned,success,False,2.9698
99,unsigned,success,False,3.0521
100,unsigned,success,False,3.0836
